Greedy maximum matching
Matching size: 201
Matching weight: 1532
Matching profile: (32,23,19,15,8,11,8,8,12,6,6,4,2,9,7,7,6,3,6,4,2,2,0,1)
Applicant  Assigned post  Rank
920           0         1      
921           0         1      
922           0         1      
923           0         1      
924           0         1      
925           0         1      
926           0         1      
927           0         1      
928           0         1      
929           0         1      
930           0         1      
931           0         1      
932           0         1      
933           0         1      
934           0         1      
935           0         1      
936           0         1      
937           0         1      
938           0         1      
939           0         1      
940           0         1      
941           0         1      
942           0         1      
943           0         1      
944           0         1      
945           0         1      
946           0         1      
947           0         1      
948           0         1      
949           0         1      
950           0         1      
951           0         1      
952           0         1      
953           0         1      
954           0         1      
955           0         1      
956           0         1      
957           0         1      
958           0         1      
959           0         1      
960           0         1      
961           0         1      
962           0         1      
963           0         1      
964           0         1      
965           0         1      
966           0         1      
967           0         1      
968           0         1      
969           0         1      
970           0         1      
971           0         1      
972           0         1      
973           0         1      
974           0         1      
975           0         1      
976           0         1      
977           0         1      
978           0         1      
979           0         1      
980           0         1      
981           0         1      
982           0         1      
983           0         1      
984           0         1      
985           0         1      
986           0         1      
987           0         1      
988           0         1      
989           0         1      
990           0         1      
991           0         1      
992           0         1      
993           0         1      
994           0         1      
995           0         1      
996           0         1      
997           0         1      
998           0         1      
999           0         1      
1000           0         1      
1001           0         1      
1002           0         1      
1003           0         1      
1004           0         1      
1005           0         1      
1006           0         1      
1007           0         1      
1008           0         1      
1009           0         1      
1010           0         1      
1011           0         1      
1012           0         1      
1013           0         1      
1014           0         1      
1015           0         1      
1016           0         1      
1017           0         1      
1018           0         1      
1019           0         1      
1020           0         1      
1021           0         1      
1022           0         1      
1023           0         1      
1024           0         1      
1025           0         1      
1026           0         1      
1027           0         1      
1028           0         1      
1029           0         1      
1030           0         1      
1031           0         1      
1032           0         1      
1033           0         1      
1034           0         1      
1035           0         1      
1036           0         1      
1037           0         1      
1038           0         1      
1039           0         1      
1040           0         1      
1041           0         1      
1042           0         1      
1043           0         1      
1044           0         1      
1045           0         1      
1046           0         1      
1047           0         1      
1048           0         1      
1049           0         1      
1050           0         1      
1051           0         1      
1052           0         1      
1053           0         1      
1054           0         1      
1055           0         1      
1056           0         1      
1057           0         1      
1058           0         1      
1059           0         1      
1060           0         1      
1061           0         1      
1062           0         1      
1063           0         1      
1064           0         1      
1065           0         1      
1066           0         1      
1067           0         1      
1068           0         1      
1069           0         1      
1070           0         1      
1071           0         1      
1072           0         1      
1073           0         1      
1074           0         1      
1075           0         1      
1076           0         1      
1077           0         1      
1078           0         1      
1079           0         1      
1080           0         1      
1081           0         1      
1082           0         1      
1083           0         1      
1084           0         1      
1085           0         1      
1086           0         1      
1087           0         1      
1088           0         1      
1089           0         1      
1090           0         1      
1091           0         1      
1092           0         1      
1093           0         1      
1094           0         1      
1095           0         1      
1096           0         1      
1097           0         1      
1098           0         1      
1099           0         1      
1100           0         1      
1101           0         1      
1102           0         1      
1103           0         1      
1104           0         1      
1105           0         1      
1106           0         1      
1107           0         1      
1108           0         1      
1109           0         1      
1110           0         1      
1111           0         1      
1112           0         1      
1113           0         1      
1114           0         1      
1115           0         1      
1116           0         1      
1117           0         1      
1118           0         1      
1119           0         1      
1120           0         1      
1121           0         1      
1122           0         1      
1123           0         1      
1124           0         1      
1125           0         1      
1126           0         1      
1127           0         1      
1128           0         1      
1129           0         1      
1130           0         1      
1131           0         1      
1132           0         1      
1133           0         1      
1134           0         1      
1135           0         1      
1136           0         1      
1137           0         1      
1138           0         1      
1139           0         1      
1140           0         1      
1141           0         1      
1142           0         1      
1143           0         1      
1144           0         1      
1145           0         1      
1146           0         1      
1147           0         1      
1148           0         1      
1149           0         1      
1150           0         1      
1151           0         1      
1152           0         1      
1153           0         1      
1154           0         1      
1155           0         1      
1156           0         1      
1157           0         1      
1158           0         1      
1159           0         1      
1160           0         1      
1161           0         1      
1162           0         1      
1163           0         1      
1164           0         1      
1165           0         1      
1166           0         1      
1167           0         1      
1168           0         1      
1169           0         1      
1170           0         1      
1171           0         1      
1172           0         1      
1173           0         1      
1174           0         1      
1175           0         1      
1176           0         1      
1177           0         1      
1178           0         1      
1179           0         1      
1180           0         1      
1181           0         1      
1182           0         1      
1183           0         1      
1184           0         1      
1185           0         1      
1186           0         1      
1187           0         1      
1188           0         1      
1189           0         1      
1190           0         1      
1191           0         1      
1192           0         1      
1193           0         1      
1194           0         1      
1195           0         1      
1196           0         1      
1197           0         1      
1198           0         1      
1199           0         1      
1200           0         1      
1201           0         1      
1202           0         1      
1203           0         1      
1204           0         1      
1205           0         1      
1206           0         1      
1207           0         1      
1208           0         1      
1209           0         1      
1210           0         1      
1211           0         1      
1212           0         1      
1213           0         1      
1214           0         1      
1215           0         1      
1216           0         1      
1217           0         1      
1218           0         1      
1219           0         1      
1220           0         1      
1221           0         1      
1222           0         1      
1223           0         1      
1224           0         1      
1225           0         1      
1226           0         1      
1227           0         1      
1228           0         1      
1229           0         1      
1230           0         1      
1231           0         1      
1232           0         1      
1233           0         1      
1234           0         1      
1235           0         1      
1236           0         1      
1237           0         1      
1238           0         1      
1239           0         1      
1240           0         1      
1241           0         1      
1242           0         1      
1243           0         1      
1244           0         1      
1245           0         1      
1246           0         1      
1247           0         1      
1248           0         1      
1249           0         1      
1250           0         1      
1251           0         1      
1252           0         1      
1253           0         1      
1254           0         1      
1255           0         1      
1256           0         1      
1257           0         1      
1258           0         1      
1259           0         1      
1260           0         1      
1261           0         1      
1262           0         1      
1263           0         1      
1264           0         1      
1265           0         1      
1266           0         1      
1267           0         1      
1268           0         1      
1269           0         1      
1270           0         1      
1271           0         1      
1272           0         1      
1273           0         1      
1274           0         1      
1275           0         1      
1276           0         1      
1277           0         1      
1278           0         1      
1279           0         1      
1280           0         1      
1281           0         1      
1282           0         1      
1283           0         1      
1284           0         1      
1285           0         1      
1286           0         1      
1287           0         1      
1288           0         1      
1289           0         1      
1290           0         1      
1291           0         1      
1292           0         1      
1293           0         1      
1294           0         1      
1295           0         1      
1296           0         1      
1297           0         1      
1298           0         1      
1299           0         1      
1300           0         1      
1301           0         1      
1302           0         1      
1303           0         1      
1304           0         1      
1305           0         1      
1306           0         1      
1307           0         1      
1308           0         1      
1309           0         1      
1310           0         1      
1311           0         1      
1312           0         1      
1313           0         1      
1314           0         1      
1315           0         1      
1316           0         1      
1317           0         1      
1318           0         1      
1319           0         1      
1320           0         1      
1321           0         1      
1322           0         1      
1323           0         1      
1324           0         1      
1325           0         1      
1326           0         1      
1327           0         1      
1328           0         1      
1329           0         1      
1330           0         1      
1331           0         1      
1332           0         1      
1333           0         1      
1334           0         1      
1335           0         1      
1336           0         1      
1337           0         1      
1338           0         1      
1339           0         1      
1340           0         1      
1341           0         1      
1342           0         1      
1343           0         1      
1344           0         1      
1345           0         1      
1346           0         1      
1347           0         1      
1348           0         1      
1349           0         1      
1350           0         1      
1351           0         1      
1352           0         1      
1353           0         1      
1354           0         1      
1355           0         1      
1356           0         1      
1357           0         1      
1358           0         1      
1359           0         1      
1360           0         1      
1361           0         1      
1362           0         1      
1363           0         1      
1364           0         1      
1365           0         1      
1366           0         1      
1367           0         1      
1368           0         1      
1369           0         1      
1370           0         1      
1371           0         1      
1372           0         1      
1373           0         1      
1374           0         1      
1375           0         1      
1376           0         1      
1377           0         1      
1378           0         1      
1379           0         1      
1380           0         1      
1381           0         1      
1382           0         1      
1383           0         1      
1384           0         1      
1385           0         1      
1386           0         1      
1387           0         1      
1388           0         1      
1389           0         1      
1390           0         1      
1391           0         1      
1392           0         1      
1393           0         1      
1394           0         1      
1395           0         1      
1396           0         1      
1397           0         1      
1398           0         1      
1399           0         1      
1400           0         1      
1401           0         1      
1402           0         1      
1403           0         1      
1404           0         1      
1405           0         1      
1406           0         1      
1407           0         1      
1408           0         1      
1409           0         1      
1410           0         1      
1411           0         1      
1412           0         1      
1413           0         1      
1414           0         1      
1415           0         1      
1416           0         1      
1417           0         1      
1418           0         1      
1419           0         1      
1420           0         1      
1421           0         1      
1422           0         1      
1423           0         1      
1424           0         1      
1425           0         1      
1426           0         1      
1427           0         1      
1428           0         1      
1429           0         1      
1430           0         1      
1431           0         1      
1432           0         1      
1433           0         1      
1434           0         1      
1435           0         1      
1436           0         1      
1437           0         1      
1438           0         1      
1439           0         1      
1440           0         1      
1441           0         1      
1442           0         1      
1443           0         1      
1444           0         1      
1445           0         1      
1446           0         1      
1447           0         1      
1448           0         1      
1449           0         1      
1450           0         1      
1451           0         1      
1452           0         1      
1453           0         1      
1454           0         1      
1455           0         1      
1456           0         1      
1457           0         1      
1458           0         1      
1459           0         1      
1460           0         1      
1461           0         1      
1462           0         1      
1463           0         1      
1464           0         1      
1465           0         1      
1466           0         1      
1467           0         1      
1468           0         1      
1469           0         1      
1470           0         1      
1471           0         1      
1472           0         1      
1473           0         1      
1474           0         1      
1475           0         1      
1476           0         1      
1477           0         1      
1478           0         1      
1479           0         1      
1480           0         1      
1481           0         1      
1482           0         1      
1483           0         1      
1484           0         1      
1485           0         1      
1486           0         1      
1487           0         1      
1488           0         1      
1489           0         1      
1490           0         1      
1491           0         1      
1492           0         1      
1493           0         1      
1494           0         1      
1495           0         1      
1496           0         1      
1497           0         1      
1498           0         1      
1499           0         1      
1500           0         1      
1501           0         1      
1502           0         1      
1503           0         1      
1504           0         1      
1505           0         1      
1506           0         1      
1507           0         1      
1508           0         1      
1509           0         1      
1510           0         1      
1511           0         1      
1512           0         1      
1513           0         1      
1514           0         1      
1515           0         1      
1516           0         1      
1517           0         1      
1518           0         1      
1519           0         1      
1520           0         1      
1521           0         1      
1522           0         1      
1523           0         1      
1524           0         1      
1525           0         1      
1526           0         1      
1527           0         1      
1528           0         1      
1529           0         1      
1530           0         1      
1531           0         1      
1532           0         1      
1533           0         1      
1534           0         1      
1535           0         1      
1536           0         1      
1537           0         1      
1538           0         1      
1539           0         1      
1540           0         1      
1541           0         1      
1542           0         1      
1543           0         1      
1544           0         1      
1545           0         1      
1546           0         1      
1547           0         1      
1548           0         1      
1549           0         1      
1550           0         1      
1551           0         1      
1552           0         1      
1553           0         1      
1554           0         1      
1555           0         1      
1556           0         1      
1557           0         1      
1558           0         1      
1559           0         1      
1560           0         1      
1561           0         1      
1562           0         1      
1563           0         1      
1564           0         1      
1565           0         1      
1566           0         1      
1567           0         1      
1568           0         1      
1569           0         1      
1570           0         1      
1571           0         1      
1572           0         1      
1573           0         1      
1574           0         1      
1575           0         1      
1576           0         1      
1577           0         1      
1578           0         1      
1579           0         1      
1580           0         1      
1581           0         1      
1582           0         1      
1583           0         1      
1584           0         1      
1585           0         1      
1586           0         1      
1587           0         1      
1588           0         1      
1589           0         1      
1590           0         1      
1591           0         1      
1592           0         1      
1593           0         1      
1594           0         1      
1595           0         1      
1596           0         1      
1597           0         1      
1598           0         1      
1599           0         1      
1600           0         1      
1601           0         1      
1602           0         1      
1603           0         1      
1604           0         1      
1605           0         1      
1606           0         1      
1607           0         1      
1608           0         1      
1609           0         1      
1610           0         1      
1611           0         1      
1612           0         1      
1613           0         1      
1614           0         1      
1615           0         1      
1616           0         1      
1617           0         1      
1618           0         1      
1619           0         1      
1620           0         1      
1621           0         1      
1622           0         1      
1623           0         1      
1624           0         1      
1625           0         1      
1626           0         1      
1627           0         1      
1628           0         1      
1629           0         1      
1630           0         1      
1631           0         1      
1632           0         1      
1633           0         1      
1634           0         1      
1635           0         1      
1636           0         1      
1637           0         1      
1638           0         1      
1639           0         1      
1640           0         1      
1641           0         1      
1642           0         1      
1643           0         1      
1644           0         1      
1645           0         1      
1646           0         1      
1647           0         1      
1648           0         1      
1649           0         1      
1650           0         1      
1651           0         1      
1652           0         1      
1653           0         1      
1654           0         1      
1655           0         1      
1656           0         1      
1657           0         1      
1658           0         1      
1659           0         1      
1660           0         1      
1661           0         1      
1662           0         1      
1663           0         1      
1664           0         1      
1665           0         1      
1666           0         1      
1667           0         1      
1668           0         1      
1669           0         1      
1670           0         1      
1671           0         1      
1672           0         1      
1673           0         1      
1674           0         1      
1675           0         1      
1676           0         1      
1677           0         1      
1678           0         1      
1679           0         1      
1680           0         1      
1681           0         1      
1682           0         1      
1683           0         1      
1684           0         1      
1685           0         1      
1686           0         1      
1687           0         1      
1688           0         1      
1689           0         1      
1690           0         1      
1691           0         1      
1692           0         1      
1693           0         1      
1694           0         1      
1695           0         1      
1696           0         1      
1697           0         1      
1698           0         1      
1699           0         1      
1700           0         1      
1701           0         1      
1702           0         1      
1703           0         1      
1704           0         1      
1705           0         1      
1706           0         1      
1707           0         1      
1708           0         1      
1709           0         1      
1710           0         1      
1711           0         1      
1712           0         1      
1713           0         1      
1714           0         1      
1715           0         1      
1716           0         1      
1717           0         1      
1718           0         1      
1719           0         1      
1720           0         1      
1721           0         1      
1722           0         1      
1723           0         1      
1724           0         1      
1725           0         1      
1726           0         1      
1727           0         1      
1728           0         1      
1729           0         1      
1730           0         1      
1731           0         1      
1732           0         1      
1733           0         1      
1734           0         1      
1735           0         1      
1736           0         1      
1737           0         1      
1738           0         1      
1739           0         1      
1740           0         1      
1741           0         1      
1742           0         1      
1743           0         1      
1744           0         1      
1745           0         1      
1746           0         1      
1747           0         1      
1748           0         1      
1749           0         1      
1750           0         1      
1751           0         1      
1752           0         1      
1753           0         1      
1754           0         1      
1755           0         1      
1756           0         1      
1757           0         1      
1758           0         1      
1759           0         1      
1760           0         1      
1761           0         1      
1762           0         1      
1763           0         1      
1764           0         1      
1765           0         1      
1766           0         1      
1767           0         1      
1768           0         1      
1769           0         1      
1770           0         1      
1771           0         1      
1772           0         1      
1773           0         1      
1774           0         1      
1775           0         1      
1776           0         1      
1777           0         1      
1778           0         1      
1779           0         1      
1780           0         1      
1781           0         1      
1782           0         1      
1783           0         1      
1784           0         1      
1785           0         1      
1786           0         1      
1787           0         1      
1788           0         1      
1789           0         1      
1790           0         1      
1791           0         1      
1792           0         1      
1793           0         1      
1794           0         1      
1795           0         1      
1796           0         1      
1797           0         1      
1798           0         1      
1799           0         1      
1800           0         1      
1801           0         1      
1802           0         1      
1803           0         1      
1804           0         1      
1805           0         1      
1806           0         1      
1807           0         1      
1808           0         1      
1809           0         1      
1810           0         1      
1811           0         1      
1812           0         1      
1813           0         1      
1814           0         1      
1815           0         1      
1816           0         1      
1817           0         1      
1818           0         1      
1819           0         1      
1820           0         1      
1821           0         1      
1822           0         1      
1823           0         1      
1824           0         1      
1825           0         1      
1826           0         1      
1827           0         1      
1828           0         1      
1829           0         1      
1830           0         1      
1831           0         1      
1832           0         1      
1833           0         1      
1834           0         1      
1835           0         1      
1836           0         1      
1837           0         1      
1838           0         1      
1839           0         1      
1840           0         1      
1841           0         1      
1842           0         1      
1843           0         1      
1844           0         1      
1845           0         1      
1846           0         1      
1847           0         1      
1848           0         1      
1849           0         1      
1850           0         1      
1851           0         1      
1852           0         1      
1853           0         1      
1854           0         1      
1855           0         1      
1856           0         1      
1857           0         1      
1858           0         1      
1859           0         1      
1860           0         1      
1861           0         1      
1862           0         1      
1863           0         1      
1864           0         1      
1865           0         1      
1866           0         1      
1867           0         1      
1868           0         1      
1869           0         1      
1870           0         1      
1871           0         1      
1872           0         1      
1873           0         1      
1874           0         1      
1875           0         1      
1876           0         1      
1877           0         1      
1878           0         1      
1879           0         1      
1880           0         1      
1881           0         1      
1882           0         1      
1883           0         1      
1884           0         1      
1885           0         1      
1886           0         1      
1887           0         1      
1888           0         1      
1889           0         1      
1890           0         1      
1891           0         1      
1892           0         1      
1893           0         1      
1894           0         1      
1895           0         1      
1896           0         1      
1897           0         1      
1898           0         1      
1899           0         1      
1900           0         1      
1901           0         1      
1902           0         1      
1903           0         1      
1904           0         1      
1905           0         1      
1906           0         1      
1907           0         1      
1908           0         1      
1909           0         1      
1910           0         1      
1911           0         1      
1912           0         1      
1913           0         1      
1914           0         1      
1915           0         1      
1916           0         1      
1917           0         1      
1918           0         1      
1919           0         1      
1920           0         1      
1921           0         1      
1922           0         1      
1923           0         1      
1924           0         1      
1925           0         1      
1926           0         1      
1927           0         1      
1928           0         1      
1929           0         1      
1930           0         1      
1931           0         1      
1932           0         1      
1933           0         1      
1934           0         1      
1935           0         1      
1936           0         1      
1937           0         1      
1938           0         1      
1939           0         1      
1940           0         1      
1941           0         1      
1942           0         1      
1943           0         1      
1944           0         1      
1945           0         1      
1946           0         1      
1947           0         1      
1948           0         1      
1949           0         1      
1950           0         1      
1951           0         1      
1952           0         1      
1953           0         1      
1954           0         1      
1955           0         1      
1956           0         1      
1957           0         1      
1958           0         1      
1959           0         1      
1960           0         1      
1961           0         1      
1962           0         1      
1963           0         1      
1964           0         1      
1965           0         1      
1966           0         1      
1967           0         1      
1968           0         1      
1969           0         1      
1970           0         1      
1971           0         1      
1972           0         1      
1973           0         1      
1974           0         1      
1975           0         1      
1976           0         1      
1977           0         1      
1978           0         1      
1979           0         1      
1980           0         1      
1981           0         1      
1982           0         1      
1983           0         1      
1984           0         1      
1985           0         1      
1986           0         1      
1987           0         1      
1988           0         1      
1989           0         1      
1990           0         1      
1991           0         1      
1992           0         1      
1993           0         1      
1994           0         1      
1995           0         1      
1996           0         1      
1997           0         1      
1998           0         1      
1999           0         1      
2000           0         1      


Greedy generous maximum matching
Matching size: 201
Matching weight: 1506
Matching profile: (32,22,18,12,8,8,9,11,14,8,7,6,6,6,7,9,7,5,6)
Applicant  Assigned post  Rank
   1           187          1
   2           191          2
   3           159          3
   4           152          4
   5           107          9
   6           106          8
   7            96          1
   8           120         16
   9           102         11
  10            82         12
  11            76          9
  12           147         19
  13            72          1
  14            74          2
  15           185          4
  16           186          5
  17           136          6
  18           189          7
  19           197          9
  20            20         18
  21           130         16
  22            88          1
  23            17          6
  24           113          7
  25            31          8
  26            50         10
  27           171         12
  28            10         16
  29            34         18
  30            37          9
  31           188         14
  32            30          1
  33            68          2
  34            77          8
  35           156         15
  36           137         14
  37           164          6
  38           173          7
  39           121         11
  40             9          4
  41            95          1
  42            23          3
  43           112          9
  44           138         16
  45           117         15
  46            65         13
  47           168          1
  48           142          2
  49            24         15
  50            71          4
  51            36          6
  52           195         11
  53             1          1
  54           169          2
  55            52          3
  56            18          3
  57            40          1
  58            43          2
  59            35          5
  60           104          1
  61            11          2
  62           105         10
  63            29          4
  64            61          9
  65            51          1
  66           151         14
  67           176          9
  68             5          4
  69           134         13
  70            14          3
  71            83          1
  72            48          2
  73           141          3
  74           153          4
  75           163          1
  76           123          4
  77            22         13
  78            85          2
  79           126          8
  80            99         10
  81           119         18
  82            54         15
  83           140          1
  84           150          2
  85           194          3
  86           131          1
  87            60          2
  88           111          5
  89           170          7
  90           190         11
  91            69         14
  92            53          1
  93           124          3
  94            90          1
  95            91          2
  96            59          8
  97           162         10
  98           114         17
  99            45         15
 100           132         16
 101           115         12
 102           166         19
 103           146         19
 104            89          2
 105           196          3
 106           202          4
 107            19          7
 108           172         13
 109            58         10
 110            62         11
 111           193         16
 112            44         17
 113            94          1
 114             4          2
 115           103          3
 116            57          8
 117            79          9
 118            81         13
 119            93          1
 120           192          2
 121           198          4
 122           143          6
 123            55          9
 124           128         13
 125           157         15
 126           181         17
 127            27          2
 128            49          3
 129            98          1
 130           183         11
 131           129          7
 132           167          9
 133            97          1
 134           160          9
 135           145          3
 136           148          4
 137           174          5
 138           178         14
 139             7          1
 140            25          2
 141            63          3
 142            64         12
 143           177         14
 144            56         10
 145           161          1
 146           155          3
 147           118          5
 148           180          8
 149            75         19
 150            41         17
 151           199         10
 152            84          1
 153            28          4
 154            67          5
 155           158          7
 156           175          8
 157           179          9
 158           133          1
 159           139          3
 160           201          6
 161           135          2
 162           125         17
 163             8          7
 164           149         12
 165           200          6
 166            38          9
 167            46         11
 168            80         18
 169            47         12
 170           116         19
 171            86          1
 172           110         17
 173            66         15
 174            21          8
 175           109         16
 176           144          1
 177            73         16
 178            13          1
 179            16          5
 180           108          3
 181             2          2
 182             3          3
 183           127          8
 184             6          9
 185           184         19
 186            26         10
 187           122          7
 188           182         18
 189            32         16
 190            33         17
 191            78          1
 192            12          2
 193            70          5
 194            87          1
 195            92          2
 196           154          8
 197           165          6
 198            15          1
 199            39          2
 200            42          3
 201           203          1

Post  Places filled Capacity          Assignees
  1           1         1          53
  2           1         1         181
  3           1         1         182
  4           1         1         114
  5           1         1          68
  6           1         1         184
  7           1         1         139
  8           1         1         163
  9           1         1          40
 10           1         1          28
 11           1         1          61
 12           1         1         192
 13           1         1         178
 14           1         1          70
 15           1         1         198
 16           1         1         179
 17           1         1          23
 18           1         1          56
 19           1         1         107
 20           1         1          20
 21           1         1         174
 22           1         1          77
 23           1         1          42
 24           1         1          49
 25           1         1         140
 26           1         1         186
 27           1         1         127
 28           1         1         153
 29           1         1          63
 30           1         1          32
 31           1         1          25
 32           1         1         189
 33           1         1         190
 34           1         1          29
 35           1         1          59
 36           1         1          51
 37           1         1          30
 38           1         1         166
 39           1         1         199
 40           1         1          57
 41           1         1         150
 42           1         1         200
 43           1         1          58
 44           1         1         112
 45           1         1          99
 46           1         1         167
 47           1         1         169
 48           1         1          72
 49           1         1         128
 50           1         1          26
 51           1         1          65
 52           1         1          55
 53           1         1          92
 54           1         1          82
 55           1         1         123
 56           1         1         144
 57           1         1         116
 58           1         1         109
 59           1         1          96
 60           1         1          87
 61           1         1          64
 62           1         1         110
 63           1         1         141
 64           1         1         142
 65           1         1          46
 66           1         1         173
 67           1         1         154
 68           1         1          33
 69           1         1          91
 70           1         1         193
 71           1         1          50
 72           1         1          13
 73           1         1         177
 74           1         1          14
 75           1         1         149
 76           1         1          11
 77           1         1          34
 78           1         1         191
 79           1         1         117
 80           1         1         168
 81           1         1         118
 82           1         1          10
 83           1         1          71
 84           1         1         152
